,sentence,predict
1187, 사장님께서 혹시 안쓰시는 은행 계정가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 연락처 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
3912,아니요. 청소년증오직 제시하때면 됩니다. ,0.0
7355, 네 입출금 입출금 계좌에 금액을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
16743,온라인으로 등록 신청하시기면 됩니다.,0.0
7365, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스속임수 같기도 하고,1.0
5819, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 입출금 은행 계좌 숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
4224, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 전화 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 자금 입금하기 바로 되고요? 그렇죠.,1.0
8386, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별식별번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
6172, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별숫자는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
1064, 아휴 그럼 어떻게 해요. 제가 자금 돈 입금 바로 쓸 수가 있는거지. 느낌이 완전 보이스 보이스속임수 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
6907, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 사용자 계정 제가 신고 해놨거든요?,1.0
5628, 수납 담당자님 은행 로그인 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요? 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요,1.0
7664, 고객님 본인명의세요? 예 예 수납 담당자님 아이디 전화숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
9513,등수는 인증할 수 없습니다. ,0.0
9145,아직 미취득 상태시각면 취득 예정이라고 비고란에 써주시간면 됩니다. ,0.0
14720,실행 가능하죠. 말하세요.,0.0
9901,"신고서에 제목작성하시간고 첨부파일넣으시고, 신고서 제출위치 신고하기내용 작성하시기면 됩니다.",0.0
1730, 네 은행 아이디에 화폐을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
5464, 20만원 큰 자본도 아니겠지만 느낌이 이상하네요 좀. 제가 지금까지 대출을 받은거 다 아시겠지만 받으면은 제외하거나 빼서 들어오지.,1.0
9890,지불지로나 벌금교부증과 신분증을 준비하셔야합니다.,0.0
11510,서울 지역 마을 세무사는  동단위로 지정된 세무사들이 무료상담해 주는 제도가 있습니다. 자치구 웹사이트나 서울특별시 사이트를 통해 상담 요청 받을수 있습니다.,0.0
3481, 아 아. 왜냐면 솔직히 이게 보이스보이스보이스피싱 같기도 하고 20만원 큰 자본도 아니겠지만 느낌이 이상하네요,1.0
4522,청년수당으로 들어가시각면 됩니다.,0.0
5623, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 사용자 ID 제가 신고 해놨거든요?,1.0
8899,10월간 이전에는 실기시험을 치룰물건으로 보입니다. ,0.0
1254, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기죄 같기도 하고,1.0
3164, 사장님께서 혹시 안쓰시는 은행 사용자 계정가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별전화번호 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
15019,관련 문화행사는 도서 전시 축제 입니다.,0.0
3094, 고객님 본인명의세요? 예 예 수납 담당자님 은행 로그인 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
7458, 마일리지 지급 방식은 2연도 동안의 세금을 바탕으로 매 6개월 단위로 평가를 한 다음에 5%-10% 미만 절감시 1그냥 마일리지 15%그 이상 절감 달성이면5오직 마일리지를 지급한다고 하네요.,0.0
10292,오셔서 지급받으시면 되고요.,0.0
10359,귀농 농업창업·주택 후원사업입니다.,0.0
10229, 검사비용은 오천화폐 단위입니다.,0.0
14917,네 잠시단지요 한번 검토 해 보겠습니다.,0.0
13609,해당 사항 문화행사는 점프구로 & 아시아문화축제 입니다.,0.0
14298,본인부담금으로 충전하시각면 됩니다.,0.0
1976,중랑구 센터 기관에서는 세무회계사무원양성 프로그램과 청소년진로 및 상담전문가 교육등등 여섯가지 교육이 진행도중입니다,0.0
222, 아 네 일단 최대한도는 고객님 신청하신 최대 한도는 3천만원까지 가능하시고요 네 금리는 연 금리 5.5%에 상환 기간 60개월입니다.,1.0
2509,네. 올해는 10월간 23일자로 선정자발표되었습니다.,0.0
4665, 아 뭐 통장 식별식별번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 신분 증명서도 접수도 안 해줬는데 그냥 사용자 ID 식별식별번호만 여쭤보면 뭐합니까?,1.0
16388,"추워도 2시간에 한번씩 환기하기, 아쉬워도 송년모임 자제하기 , 환기 안되는 시설에 오래 머물지 않기, 설마해도 의심되면 즉시 검사하기, 마스크와 손소독 철저히 하기 기타입니다.",0.0
1228, 변호사 선임해주시고 연락을 주시면은 저희 직원이 파견나간다고요 변호사까지 선임하는 대출을 누가 합니까 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요?,1.0
5785, 사장님께서 혹시 안쓰시는 은행 입출금 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 연락처 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
4118, 음 금액 돈 입금 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
2124, 그렇구나... 대리님 네 속임수 죄치지 마시고요,1.0
4688,다만 19세-34세입니다.,0.0
5001, 네 입출금 계정에 금액을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
14324,주말과 공휴일을 제외하고 5사건정도 소요 되시간겠습니다.,0.0
2802,"아니요, 등록 신청을 하셔야 합니다.",0.0
9872,"네, 후불 교통카드 가입 신청할 수 있는하십니다.",0.0
4635, 아 네 안녕하세요 저희 그 하나캐피탈에서 연락을 드렸습니다 아 그래요? 네네네 고객님께서 이제 중개업체쪽에서 필요 자금 부분 신청하신 건 때문에 연락을 드린거구요,1.0
1108,자치구별로 다를 수 있어서 꼭 먼저 확인하기하때고 찾아가기하세요. ,0.0
10660,2020연도 10한 달 28날 에서 12개월 22날 까지 입니다,0.0
3767,20한 해 7한 달 중순으로 예정되어 있습니다.,0.0
342, 아 그렇게는 안되구요. 그러면은 저희가 이제 따로 수납 처리 안 받고 공증을 직접 하시는 걸로 처리를 할 테니깐요. 사무실 좀 알아보시고 연락을 주세요 아 돈을 그렇게 먼저 넣는거 처음인데 대출 받아면서,1.0
15082,그렇군요. 저도 감사함드립니다.,0.0
15279,아니요. 불할 수 있는하십니다~,0.0
9596, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별연락처는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
771, 아 잠깐만요. 그러면은 지금 바로 그냥 진행을 도와드려 볼게요. 울산 지금 실제 거주하시는 지역이 울산이세요? 예,1.0
4139, 사용하시는 휴대 전화 식별숫자 통신사는 어떻게 되세요? SKT요 본인 명의세요? 예,1.0
15178,강남구청 웹사이트 주소는 www.gangnam.go.kr 입니다.,0.0
2644, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 입금하기하기 바로 쓸 수가 있는거지.,1.0
8744,11한 달10업무과 11달 13날 할 수 있는하십니다.,0.0
9543, 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 금액 드시니까 좋으세요? 네 무슨말씀이시죠? 아..제가 보니까 제게 상환이 다 안되있더라구요,1.0
1273,"결혼예정자가 대출실행업무로부터 6개월 이내 혼인사실 서류를 제출하지 못하는경우에 따라, 세대주가 서울특별시 외 지역 사회으로 전출하는사례, 공공임대주택에 입주하는 사례 입니다. ",0.0
1833,월간 50오직돈씩 3개월 동안 총 150다만금액이 지급 받게 되실겁니다.,0.0
451, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 녹취를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 입금 바로 되고요? 그렇죠.,1.0
2082, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 은행 사용자 ID가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별숫자 알게 되셨죠?,1.0
9077,"21날은 저녁7시각, 저녁 8때 두 코트 예약가능성 있음하십니다. ",0.0
3513,네.서울 지역에서 진행하는 역세권 청년주택 공급사업이 있습니다.,0.0
10459, 무슨소리하시는거죠? 지금 그 은행 아이디 제가 신고 해놨거든요? 네 은행 로그인 계정에 화폐을 다 빼가셨더라고요,1.0
