,Score
logistic_Acc,0.9266666666666666
logistic_F1,0.9245310245310243
logistic_Rec,0.9266666666666666
logistic_Pre,0.9232752136752136
naivebayes_Acc,0.61
naivebayes_F1,0.6351427147525548
naivebayes_Rec,0.61
naivebayes_Pre,0.7076457431457432
Randomforest_Acc,0.97
Randomforest_F1,0.9698417902534984
Randomforest_Rec,0.97
Randomforest_Pre,0.9716770186335403
XGBClassifier_ACC,0.9866666666666667
XGBClassifier_F1,0.9866392866392865
XGBClassifier_REC,0.9866666666666667
XGBClassifier_Pre,0.987008547008547
SVM_ACC,0.9766666666666667
SVM_F1,0.9766873911699512
SVM_REC,0.9766666666666667
SVM_REC,0.9773591775136767
