,Score
logistic_Acc,0.9966666666666667
logistic_F1,0.9966644764901845
logistic_Rec,0.9966666666666667
logistic_Pre,0.9966852886405959
naivebayes_Acc,0.97
naivebayes_F1,0.9699386261977138
naivebayes_Rec,0.97
naivebayes_Pre,0.970079390872371
Randomforest_Acc,0.9966666666666667
Randomforest_F1,0.9966644764901845
Randomforest_Rec,0.9966666666666667
Randomforest_Pre,0.9966852886405959
XGBClassifier_ACC,1.0
XGBClassifier_F1,1.0
XGBClassifier_REC,1.0
XGBClassifier_Pre,1.0
SVM_ACC,0.9966666666666667
SVM_F1,0.9966644764901845
SVM_REC,0.9966666666666667
SVM_REC,0.9966852886405959
